Altium Designer Pick and Place Locations
C:\Users\leand\Documents\Altium\Projetos\LHC\LHCbit\LHCbit\altium\LHCbit\Pick Place\Pick Place for LHCbit.csv

========================================================================================================================
File Design Information:

Date:       13/09/24
Time:       15:43
Revision:   ba930c35bc568c890450b64e46a886340112682b
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"S3","2.4750","14.4500","TopLayer","90"
"LCD","25.9050","13.0000","BottomLayer","180"
"MB1","26.0000","4.7000","BottomLayer","180"
"C8","12.0002","16.6998","TopLayer","270"
"C7","14.3002","16.6998","TopLayer","270"
"R6","13.1002","16.6998","TopLayer","270"
"S2","45.7500","28.5000","BottomLayer","90"
"S1","6.0000","28.5000","BottomLayer","90"
"LED2","27.3000","20.0000","TopLayer","180"
"C4","26.0998","17.1998","TopLayer","180"
"U2","27.0000","28.3500","TopLayer","270"
"C6","24.4001","33.5999","TopLayer","180"
"C5","30.9000","24.8001","TopLayer","0"
"USB1","30.1000","39.2250","TopLayer","180"
"R9","39.9998","36.2998","TopLayer","180"
"R8","9.5002","16.6998","TopLayer","270"
"L2","44.7500","18.9751","TopLayer","0"
"C21","45.5002","13.4998","TopLayer","270"
"C18","39.9998","37.4998","TopLayer","180"
"C16","41.6002","20.8998","TopLayer","270"
"J1","50.1750","16.0250","TopLayer","270"
"U3","42.7252","28.8500","TopLayer","90"
"L3","45.4328","16.5125","TopLayer","0"
"L4","34.1633","28.4905","TopLayer","0"
"L5","34.0000","33.0001","TopLayer","0"
"C13","40.6626","15.8255","TopLayer","270"
"C9","39.1002","17.2998","TopLayer","270"
"C17","37.1998","20.3998","TopLayer","180"
"C14","42.2253","15.8256","TopLayer","270"
"C15","39.4363","19.8193","TopLayer","270"
"C10","38.0002","17.2998","TopLayer","270"
"C19","44.5998","20.5998","TopLayer","180"
"C20","44.2002","13.4998","TopLayer","270"
"C22","35.3002","25.9998","TopLayer","270"
"C23","34.1998","30.2998","TopLayer","180"
"C24","34.1998","31.4998","TopLayer","180"
"R5","15.4002","16.6998","TopLayer","270"
"C11","45.3248","35.9248","TopLayer","180"
"C12","45.2498","38.8998","TopLayer","180"
"JX1","44.8000","41.8600","TopLayer","270"
"L1","44.7998","37.3002","TopLayer","90"
"R2","1.5998","28.1002","TopLayer","90"
"C3","1.6002","25.5998","TopLayer","270"
"R7","48.1002","15.4998","TopLayer","270"
"R4","8.3002","16.6998","TopLayer","270"
"R3","10.7002","16.6998","TopLayer","270"
"U1","12.8750","28.0300","TopLayer","0"
"C2","1.9524","36.3431","TopLayer","90"
"C1","1.9751","33.7001","TopLayer","270"
"R1","38.6999","41.4000","TopLayer","90"
"LED1","36.8000","41.5000","TopLayer","0"
